user_id,session_id,date,gender,age,location,membership_status,returning_customer,device_type,browser,time_of_day,time_spent_minutes,pages_viewed,scroll_depth,clicks,traffic_source,ad_campaign,coupon_used,discount_applied,product_category,wishlist_items,cart_items,avg_session_value,payment_method,purchase
1,4174,2023-01-01 00:00:00,Female,45,Australia,Registered,0,Mobile,Edge,Morning,59,14,17,35,Referral,Campaign_B,0,0,Sports,4,2,345.4,COD,1
2,4507,2023-01-01 01:00:00,Male,34,USA,Guest,0,Mobile,Edge,Evening,6,17,86,49,Social,Campaign_C,0,1,Books,9,1,286.72,Debit Card,1
3,1860,2023-01-01 02:00:00,Male,48,Canada,Guest,0,Mobile,Safari,Evening,52,13,22,16,Organic,Campaign_C,0,0,Electronics,6,2,190.42,UPI,1
4,2294,2023-01-01 03:00:00,Female,25,Germany,Registered,0,Desktop,Edge,Night,15,10,49,40,Social,Campaign_B,0,1,Home,7,7,328.79,UPI,1
5,2130,2023-01-01 04:00:00,Female,57,UK,Registered,0,Desktop,Chrome,Morning,24,1,67,47,Social,Campaign_A,1,0,Clothing,7,1,85.97,NetBanking,1
6,2095,2023-01-01 05:00:00,Male,42,UK,Registered,0,Mobile,Firefox,Morning,21,1,27,39,Direct,None,0,0,Clothing,0,6,36.43,COD,1
7,4772,2023-01-01 06:00:00,Male,26,Germany,Guest,0,Mobile,Edge,Night,7,15,66,27,Organic,None,0,0,Books,0,2,427.98,COD,0
8,4092,2023-01-01 07:00:00,Male,19,Canada,Registered,0,Desktop,Edge,Afternoon,57,16,92,41,Social,None,0,1,Books,2,1,284.15,Credit Card,1
9,2638,2023-01-01 08:00:00,Female,32,India,Registered,1,Desktop,Firefox,Afternoon,29,12,47,38,Ads,Campaign_B,0,1,Electronics,0,1,326.3,COD,1
10,3169,2023-01-01 09:00:00,Female,20,USA,Premium,0,Desktop,Chrome,Evening,32,6,41,25,Organic,Campaign_B,1,0,Electronics,0,5,157.08,UPI,1
11,1466,2023-01-01 10:00:00,Male,53,Canada,Guest,1,Mobile,Chrome,Morning,32,6,95,26,Direct,Campaign_B,0,1,Clothing,9,6,189.12,COD,1
12,2238,2023-01-01 11:00:00,Male,21,Australia,Guest,1,Tablet,Edge,Afternoon,53,12,75,14,Referral,Campaign_A,0,0,Clothing,7,5,45.77,NetBanking,1
13,1330,2023-01-01 12:00:00,Female,31,Germany,Registered,0,Mobile,Safari,Evening,59,15,86,14,Social,Campaign_C,1,0,Clothing,0,1,429.21,NetBanking,1
14,2482,2023-01-01 13:00:00,Male,58,USA,Registered,1,Desktop,Edge,Evening,5,4,96,14,Ads,None,1,0,Clothing,8,1,298.26,UPI,0
15,3135,2023-01-01 14:00:00,Male,58,UK,Registered,1,Mobile,Firefox,Evening,4,4,34,25,Direct,None,0,0,Sports,1,0,46.4,UPI,1
16,4444,2023-01-01 15:00:00,Female,42,India,Registered,1,Desktop,Firefox,Afternoon,22,2,67,36,Organic,None,0,0,Electronics,8,7,403.24,UPI,0
17,4171,2023-01-01 16:00:00,Female,27,Australia,Registered,0,Mobile,Firefox,Afternoon,18,12,84,4,Social,Campaign_B,0,0,Electronics,6,1,224.84,COD,1
18,3919,2023-01-01 17:00:00,Female,38,UK,Premium,0,Mobile,Edge,Morning,35,7,42,47,Direct,Campaign_B,0,1,Clothing,8,7,383.73,COD,0
19,4735,2023-01-01 18:00:00,Female,53,Germany,Registered,1,Mobile,Edge,Morning,17,9,97,15,Direct,None,1,1,Home,2,5,11.25,Debit Card,0
20,1130,2023-01-01 19:00:00,Male,29,USA,Premium,1,Mobile,Chrome,Evening,50,9,75,32,Ads,Campaign_B,0,1,Clothing,0,1,19.23,Credit Card,1
21,2685,2023-01-01 20:00:00,Male,44,Germany,Registered,1,Desktop,Safari,Evening,50,8,39,18,Referral,Campaign_B,0,0,Beauty,0,4,89.54,COD,1
22,4380,2023-01-01 21:00:00,Female,57,USA,Premium,0,Desktop,Edge,Afternoon,56,14,90,14,Referral,Campaign_B,1,1,Books,9,0,109.4,Debit Card,0
23,1769,2023-01-01 22:00:00,Male,19,Canada,Premium,1,Tablet,Chrome,Afternoon,24,1,43,1,Referral,Campaign_B,0,1,Beauty,5,1,383.16,Debit Card,0
24,3391,2023-01-01 23:00:00,Male,30,India,Guest,1,Mobile,Edge,Morning,2,12,95,42,Organic,Campaign_A,0,0,Home,6,5,354.81,NetBanking,0
25,2515,2023-01-02 00:00:00,Male,49,Canada,Premium,0,Desktop,Chrome,Morning,13,2,78,20,Direct,None,1,1,Books,8,5,309.96,COD,0
26,4485,2023-01-02 01:00:00,Male,48,Canada,Guest,0,Desktop,Chrome,Night,54,13,57,10,Organic,None,1,0,Home,5,3,443.01,Debit Card,1
27,3853,2023-01-02 02:00:00,Male,33,Germany,Premium,0,Mobile,Safari,Morning,15,4,49,10,Direct,Campaign_B,1,0,Books,4,5,127.34,NetBanking,0
28,3433,2023-01-02 03:00:00,Male,49,India,Registered,1,Mobile,Edge,Afternoon,5,18,60,24,Ads,Campaign_A,0,0,Clothing,1,7,452.68,Credit Card,0
29,2215,2023-01-02 04:00:00,Male,49,USA,Guest,1,Desktop,Chrome,Evening,3,19,89,34,Ads,None,1,0,Clothing,1,0,455.19,NetBanking,0
30,1955,2023-01-02 05:00:00,Male,51,USA,Registered,1,Tablet,Firefox,Night,37,16,22,28,Organic,Campaign_B,0,1,Home,7,7,219.96,Credit Card,1
31,3324,2023-01-02 06:00:00,Female,28,Australia,Premium,0,Desktop,Firefox,Morning,37,14,99,27,Organic,Campaign_B,0,0,Books,0,5,51.72,UPI,1
32,2184,2023-01-02 07:00:00,Female,27,UK,Guest,0,Mobile,Firefox,Morning,37,8,40,40,Ads,Campaign_A,1,0,Sports,7,4,364.65,UPI,1
33,1459,2023-01-02 08:00:00,Female,32,Australia,Registered,0,Mobile,Safari,Afternoon,3,12,48,1,Social,Campaign_B,0,1,Home,9,2,171.78,NetBanking,0
34,4385,2023-01-02 09:00:00,Female,34,Australia,Registered,0,Mobile,Chrome,Night,35,9,72,33,Referral,None,1,1,Home,6,4,398.49,UPI,1
35,1021,2023-01-02 10:00:00,Female,57,USA,Premium,1,Desktop,Safari,Morning,52,6,57,4,Referral,None,0,1,Beauty,6,6,86.03,COD,1
36,3300,2023-01-02 11:00:00,Male,35,Germany,Registered,1,Desktop,Edge,Evening,23,18,96,7,Ads,Campaign_B,0,0,Electronics,4,7,272.06,NetBanking,1
37,1747,2023-01-02 12:00:00,Female,26,Canada,Guest,1,Mobile,Edge,Afternoon,28,2,57,9,Referral,Campaign_B,1,0,Home,2,4,256.5,Debit Card,0
38,3904,2023-01-02 13:00:00,Female,42,Canada,Guest,1,Desktop,Chrome,Night,30,8,70,16,Social,Campaign_A,0,1,Sports,6,0,54.66,COD,0
39,4632,2023-01-02 14:00:00,Female,57,Canada,Registered,0,Mobile,Firefox,Morning,18,14,21,5,Social,Campaign_A,0,0,Clothing,6,0,184.85,NetBanking,0
40,1474,2023-01-02 15:00:00,Male,31,India,Registered,0,Tablet,Chrome,Morning,58,6,87,34,Direct,None,0,0,Books,6,3,46.95,Credit Card,1
41,2082,2023-01-02 16:00:00,Male,42,USA,Premium,1,Mobile,Chrome,Night,52,10,65,23,Organic,None,1,0,Electronics,1,5,235.05,UPI,1
42,3558,2023-01-02 17:00:00,Male,39,Germany,Guest,1,Mobile,Chrome,Afternoon,36,8,27,43,Referral,Campaign_C,0,0,Books,2,3,422.24,UPI,1
43,4753,2023-01-02 18:00:00,Male,47,India,Registered,0,Mobile,Safari,Night,33,17,36,25,Social,None,0,0,Clothing,2,0,138.75,UPI,0
44,3047,2023-01-02 19:00:00,Female,37,UK,Guest,0,Mobile,Edge,Night,26,12,37,13,Organic,None,0,0,Home,3,5,383.61,NetBanking,1
